"year","last_name, first_name","player_id","team_id","pa","pitches","runs_all","runs_heart","runs_shadow","runs_chase","runs_waste"
"2019","Fletcher, David","664058","108","642","2596",6.6567219545784715,-18.752822846367447,-6.224565239457874,22.511697218534216,9.122412821869574
"2019","Smith Jr., Dwight","596105","110","392","1496",1.04073567011452,-5.046119336688629,-8.590093828315444,7.583719528394844,7.093229306723758
"2019","Dietrich, Derek","518618","113","294","1159",7.010191188181061,2.6616485652604167,-13.276992836504007,8.677638653178526,8.94789680624612
"2019","Reyes, Victor","622682","116","292","1213",-5.618403715399214,-7.282484182484333,-3.824039074202562,3.4633014930739847,2.0248180482136924
"2019","Correa, Carlos","621043","117","306","1258",14.268611424362247,15.637717021066223,-10.109526516149247,4.056340170757898,4.684080748687393
"2019","Alvarez, Yordan","670541","117","360","1474",33.181670904631524,7.610571321271708,8.70784330387361,11.226285321713005,5.636970957773202
"2019","Conforto, Michael","624424","121","638","2566",21.32449095308384,3.2090935806852556,-22.48520383899618,23.976800873806347,16.623800337588406
"2019","Voit, Luke","572228","147","508","2016",26.01447658253612,0.37753063006573295,-10.70380237713414,21.435265614110765,14.905482715493726
"2019","Judge, Aaron","592450","147","443","1913",20.73631646526973,14.029374451160614,-20.72694435312689,15.731263591714043,11.702622775521945
"2019","Grossman, Robbie","543257","133","476","1885",-3.7168645772382356,-11.344440396847537,-20.400200372532638,18.479691817135038,9.548084375006953
"2019","Canha, Mark","592192","133","492","2092",26.214616387253532,-4.397268367266348,-4.179618285421929,17.641374034227564,17.150129005714195
"2019","Hedges, Austin","595978","135","344","1371",-16.338687771377252,-4.5867089358746505,-22.211178359652408,2.459019989336517,8.000179534813274
"2019","Vogelbach, Daniel","596129","136","551","2512",1.823996749342174,-7.056015951759868,-21.861835556156386,18.04866187220686,12.693186385051586
"2019","Choi, Ji Man","596847","139","485","2020",6.5090354954294,-5.270019403686523,-19.90781437487066,21.467684327350256,10.219184946636336
"2019","Drury, Brandon","592273","141","447","1783",-22.634020175949342,-15.317714137367254,-16.603586168234067,4.419549877494477,4.867730252157403
"2019","Kelly, Carson","608348","109","354","1567",0.619125127522161,-8.028292074518768,-14.635985358146229,15.575826349695934,7.707576210491214
"2019","Freeman, Freddie","518692","144","680","2745",45.942196599023355,10.283220703400831,0.27689260479408845,20.865286089580565,14.516797201247734
"2019","Ruiz, Rio","547004","110","413","1594",-5.103805508673053,-10.891847377181637,-12.5074374912204,12.26640072844196,6.02907863128705
"2019","Betts, Mookie","605141","111","699","2904",39.79670777745394,-0.332967467136029,-3.3052967948121594,28.711555988610982,14.723416050791235
"2019","Iglesias, Jose","578428","113","509","1873",-2.2338762733966453,-3.6365489367419443,-8.61770343946504,4.102778488638127,5.917597614172214
"2019","Lindor, Francisco","596019","114","641","2406",8.779501308911634,0.9649614742105411,-16.830257829982813,13.310856804893088,11.3339408597908
"2019","Cuthbert, Cheslor","596144","118","329","1287",-8.65946381573384,-10.212509627605975,-11.466281560715215,7.5708254244914475,5.448501948095904
"2019","Braun, Ryan","460075","158","499","1847",9.269682711371074,7.61231232544997,-13.393366427405827,5.156451859633428,9.894284953693516
"2019","Gamel, Ben","592325","158","344","1475",3.085359400673849,0.9195608768611008,-15.563078743449006,11.268601854590715,6.460275412671047
"2019","McCutchen, Andrew","457705","143","262","1165",7.77006107020589,-0.08579523037658547,-8.224086509501813,12.503210275449069,3.5767325346352323
"2019","Smith, Mallex","605480","136","562","2226",-18.67886178479433,-28.056848654057166,-17.269239809817048,15.701677773779426,10.94554890530051
"2019","McCann, Brian","435263","144","315","1281",-3.2449168017345937,-14.661349599137067,1.0869998104570882,5.019013201844538,5.310419785100842
"2019","Contreras, Willson","575929","112","407","1567",10.304204818452476,5.024509109700637,-16.16918113453296,12.681237398658096,8.767639444626704
"2019","Santana, Carlos","467793","114","671","2780",30.272854732450885,-7.733894608249863,-8.41807466894481,31.724035825990786,14.700788183654769
"2019","Naquin, Tyler","571980","114","289","1083",-1.5816186565768775,-5.278642188311199,-7.914367233142498,8.74375457527166,2.8676361896051525
"2019","Reyes, Franmil","614177","114","547","2119",2.6586284641612266,-2.310165718638347,-12.946873085977572,7.379052905190812,10.536614363586338
"2019","Murphy, Daniel","502517","115","477","1820",10.060594041833392,7.706175685537556,-14.243579634643206,10.073664004586297,6.52433398635271
"2019","Arenado, Nolan","571448","115","651","2390",52.11088749976985,18.883903635276607,3.1700536743616254,19.557196941312597,10.499733248818874
"2019","Sánchez, Yolmer","570560","145","554","2245",-18.06815922701665,-13.885879419966235,-28.870924981729083,17.70387329879671,6.984771875881908
"2019","Cabrera, Miguel","408234","116","544","2026",6.684551451716379,-16.582793384111234,6.3540119866979365,8.935848849680307,7.977483999449362
"2019","Merrifield, Whit","593160","118","729","2763",12.981256108173175,-18.326893490450715,2.1083879658850897,17.168424085563565,12.031337547175236
"2019","Anderson, Brian","605119","146","519","1925",11.22501680738917,9.703342176087833,-17.01189880447774,9.256699609614618,9.27687382616446
"2019","Maybin, Cameron","457727","147","269","1121",7.217590697608148,-1.1903264793305022,-1.321091971011648,7.484525873384187,2.244483274566107
"2019","Gregorius, Didi","544369","147","343","1378",3.4863089952828608,9.390371008598844,-20.1304189692733,9.195101641086007,5.031255314871351
"2019","Kinsler, Ian","435079","135","281","1082",-12.292132579489708,-7.705826791536967,-19.44414968613446,10.71263395947319,4.1452099387085255
"2019","Machado, Manny","592518","135","658","2417",12.864641869360854,-0.7444180711198312,-20.847043058525042,23.236013950752334,11.220089048253413
"2019","Margot, Manuel","622534","135","440","1742",-14.54398177151466,-9.503805709726835,-23.43250839274475,12.591668624975785,5.800663705981184
"2019","Longoria, Evan","446334","137","507","2011",4.9029198986950515,-12.818225658237868,-1.768316796117564,11.164308428630989,8.32515392441949
"2019","Lowe, Brandon","664040","139","327","1311",6.037100007177316,7.943402155675025,-12.39248726243462,5.09656238258194,5.389622731354978
"2019","Andrus, Elvis","462101","140","643","2507",-11.061704400084498,-18.793148444550464,-10.382444652168676,9.634055181671984,8.47983351496264
"2019","Tellez, Rowdy","642133","141","406","1603",-8.843042969477791,-9.328078811111048,-13.216963621478516,6.26810511972282,7.433894343388915
"2019","Walker, Christian","572233","109","597","2413",8.054039767886715,2.552792482239432,-25.02178194398082,19.05813950487077,11.464889724757318
"2019","Hamilton, Billy","571740","144","351","1401",-16.874377021876473,-15.4995844599311,-17.51417073089169,11.408191299442791,4.731186869503534
"2019","Senzel, Nick","669222","113","407","1603",3.8199316680426705,-11.412318669026837,-2.5676831863356324,9.563745895189877,8.236187628215236
"2019","Muncy, Max","571970","119","583","2553",32.83847734327613,2.0643881068466623,-11.326100894532242,25.530548481884395,16.569641649077347
"2019","Taylor, Chris","621035","119","406","1703",2.148670882388523,9.073715951973506,-23.891288376695492,11.600552880612135,5.365690426498386
"2019","Reynolds, Bryan","668804","134","537","2135",28.10285755096649,9.101123156576142,-13.922147102462873,18.53379632875447,14.390085168098754
"2019","Haniger, Mitch","571745","136","266","1151",-2.1696650105008883,-3.65139414699091,-13.87511695518274,9.098415589758835,6.258430501913912
